inflate the currency	inflate the balloon
he injected new life into the performance	he injected new drugs into the performer's system
she had to juggle her job and her children	she had to juggle her balls and her bowling pins
the gun kicked back into my shoulder.	the mule kicked back into my shoulder.
the businessman kited millions of dollars	the businessman flew millions of kites
this may land you in jail	this plane may land on top of the jail
lay the foundation for a new health care plan	lay the foundation for a new health care facility
lay a responsibility on someone	lay a hand on someone
the news were leaked to the paper	the ink leaked onto the paper
the news leaked out despite his secrecy	the water leaked out despite his secrecy
‘ Westerns have a gladiatorial , timeless quality .	Western Rome was gladiatorial.
£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .	£45,000 was the asking price and I was not surprised that the seller , so to speak , hung the painting .
Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	Primal Scream Not a name which would lead you to expect self-absorbed doodlings on paper .
London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .	London 's leading pair , as if their interest were piqued by this , turned 30 September into the longest afternoon .
The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .	The voice at the other end was plainly over-excited and it took him a minute to disentangle the ball of yarn he was given .
A fly landed on the empty , staring vizor , and crawled across it .	A fly landed on the empty vizor, staring at it , and then crawled across it .
The stains on the carpet have survived every name change .	The bugs on the carpet have survived every name change .
Paula perched herself against the cutting table trying to look nonchalant .	Paula 's parrot perched herself on the cutting table trying to look nonchalant .
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .	Find the driver of a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to disease , and you can buy with confidence .
The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	The hollow bone of a dog came from one of the stone sheds , but there was no sign of life around the buildings .
Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .	Recently , of course , there has been an added dimension — inflated by politicians : balloons .
Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of disease immunities .
Exhausted .	Exhausted the resources .
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .	They win their parents over with a rose-tinted vase which is decidedly reassuring .
No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .	No matter ; only the accents change — and the pants : here , the good blue-jeans have squares .
Other organizations could not be absorbed but could still be brought within the Central Office orbit .	Other liquids could not be absorbed but could still be brought within the Central Office orbit .
Nor , if we are in civilised cast of mind , because we wish to become drunk .	Nor , if we are in civilised cast of characters , because we wish to become drunk .
Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	Was he even now shadowing the painting , moving soundlessly from cover to cover , like a tiger in the steel jungle ?
Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .	Berry made plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism , on the jar .
seems to be wide awake could of got up	seems to be wide ; could not cross it
A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the fire .
Well I reckon she lived er a couple of years after the stroke Gordon .	Well I reckon twenty objects there.
‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .	‘ We 've had more paperwork , not less , since the trust took over , ’ and Buzz said it tasted tart .
You might have assumed this was the police bluffing and bullying .	You might have assumed this was the police bluffing in poker .
Save you , save you carrying them .	I will save you from carrying them .
She fell asleep to the sound of music drifting upwards from the drawing-room .	She fell asleep to the smell of smoke drifting upwards from the drawing-room .
You have to hope that its blankness will slowly dissolve and let life in .	You have to hope that its metals will slowly dissolve and let carbon in .
The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .	That is one of the most intractable sheep in industrialised farms .
Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .	Let puritans and pessimists damn , disapprove or dismiss these appetites for meat ; that is their loss .
Avon treads warily .	Avon treads on the grass warily .
Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	Despite many and varied flurries of snow in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .
No golden light bathed the red brick of the house .	No one bathed in the red brick house .
Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	Does the ‘ grievous bodily harm ’ rule extend his arm too far ?
Adam closed the front door and stood there for a moment as if he could not wrench himself away .	Adam closed the front door and stood there for a moment as if he could not find the wrench .
This was conveniently encapsulated in the first try .	This was conveniently encapsulated in the first bottle .
But ‘ posturing and pretending ’ went far beyond the unions .	But ‘ posturing and pretending in front of a mirror ’ went far beyond the unions .
Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .	Second , it would consolidate the image and essence of the Intifada into one destructive force .
And the Spirit ,  stooping  earthward ,	And the eagle , stooping earthward ,
Traced  a winding pathway for it ,	Traced a winding lineage for it ,
Then a snow-white cloud  unfolding  ,	Then a snow-white sheet unfolding ,
Till it  touched  the top of heaven ,	Till it touched the top of her head ,
Now you  find  that we are strongest ,	Now you find our strongest person ,
Only  made  the fire burn brighter ,	Only made the brighter burning fire ,
Touched  the rugged hills with smoothness ,	Touched the rugged hills with his hand ,
On their tracks his eyes were  fastened  ,	On their tracks his hands were fastened ,
And his heart within him  fluttered  ,	And his butterfly within fluttered ,
Filled  with awe was Hiawatha	Filled with water was Hiawatha 's jar
Filled  with joy was Mudjekeewis	Filled with water was Mudjekeewis 's jar
Saw his youth  rise  up before him	Saw the sea rise up before him
You bring back the days  departed  ,	You bring back the dearly departed ,
You  bring  back my youth of passion ,	You bring back my youth who are passionate ,
In the days long since  departed  ,	In the people long since departed ,
Fill  the fiery brains of young men ?	Fill the fiery barns of young men ?
At his touch he  felt  new courage	At his touch he felt new leather
Till the darkness  fell  around them ,	Till they fell in the darkness ,
Taking  shape when earth it touches ,	Taking earth when it touches the shape ,
Till the darkness  fell  around them ,	Till they fell in the darkness ,
Till the darkness  falls  around us ,	Till we fall in the darkness ,
Fearing lest his strength should  fail  him ,	Fearing lest his son should fail him ,
Round about him  spun  the landscape ,	Round about him spun the spider 's web ,
And his strong heart  leaped  within him ,	And his strong rabbit leaped within it ,
Blazed  and flared the red horizon ,	Blazed and flared the red inferno ,
Blazed and  flared  the red horizon ,	Blazed and flared the red inferno ,
And  made  known unto the people	And made corn for the people
Straight between them  ran  the pathway ,	Straight between them ran the person ,
Could not  breed  ill-will between them ,	Could not breed two animals ,
For they  kept  each other 's counsel ,	For they kept each other 's necklaces ,
Now he  stirred  their souls to passion ,	Now he stirred their soup to boiling ,
Now he  melted  them to pity .	Now he melted them together .
All the hearts of men were  softened	All the pillows of men were softened
For his strength  allied  to goodness .	For his daughter allied to nobility .
Rose , but  made  no angry answer ;	Rose , but made no one angry ,
Where a brooklet  led  them onward ,	Where a women led them onward ,
To their challenge  made  no answer ,	For the challenge made no cake ,
For the Summer-time is  coming  ,	Grandma is coming for the summer ,
Went  a sound , a cry of horror ,	Went a snake , a cry of horror ,
For his thoughts as paddles  served  him ,	For his thoughts as waiters served him ,
And his wishes  served  to guide him ;	And his waiters served him ,
And his wishes served to  guide  him ;	And his waiters guided him ;
Till the waves  washed  through the rib-bones ,	Till the waves washed away the rib-bones ,
With their fiery breath  made  answer :	With their fiery breath made charcoal
Till the level moon  stared  at him	Till the lion stared at him
Harmless  fell  the blows he dealt it	Harmless fell the trees he chopped down
Harmless  fell  the heavy war-club ;	Harmless fell the heavy box
From whose branches  trailed  the mosses ,	From whose branches trailed the jaguar ,
Him , who  sent  the fiery fever ,	Him who sent the fiery arrows ,
And his heart  outran  his footsteps ;	And he outran his opponents ;
And then  added  , speaking slowly ,	And then added the numbers slowly ,
And  made  answer very gravely :	And made a vow very gravely :
"Let your heart  speak  , Minnehaha ! """	Let your friend speak , Minnehaha !
Though his pace he  checked  and slackened	Though his watch he checked and slackened
Though his pace he checked and  slackened	Though his rope he checked and slackened
That the time might  pass  more gayly ,	That the thought might pass more gayly ,
That the time may  pass  more gayly ,	That the thought may pass more gayly ,
That the time may  pass  more gayly ,	That the thought may pass more gayly ,
As the springs to  meet  the sunshine ,	As the Springs to meet the neighbors ,
When the clouds  drop  shadows on it !	When the clouds drop rain on it !
Then my troubled heart is  brightened  ,	Then my troubled room is brightened ,
Jealous of the applause they  gave  him ,	Jealous of the apples they gave him ,
Would you only  give  him credence ,	Would you only give him gum ,
That the time may  pass  more gayly ,	That the thought may advance more gayly ,
All the water  flushed  with crimson !	All the water flushed the crimson away !
And they  felt  it rising , rising ,	And they felt the flag rising , rising
And they felt it  rising  , rising ,	And they felt the carpet rising , rising
Could not  see  your heart of passion ,	Could not see your passionfruit
Of the happy days that  followed  ,	Of the happy children that followed
Robed  with darkness as a garment .	Robed with wool as a garment
Till the tree-tops  shook  with laughter ,	Till the tree tops shook from wind
When the noiseless night  descended	When the noiseless owl descended
Guskewau , the darkness ,  wrapped  her	Guskewau , the ribbon , wrapped her
Till the cornfields  rang  with laughter ,	Till the phones rang
And the song this shape  suggested	And the song this child suggested
Such the spell I  cast  upon you ,	Such the net I cast upon you
Covered  all the earth with silence ,	Covered all the earth with cement
Came  the Spring , and all the forest	Came the sheep , and all the forest
As the clouds are  swept  from heaven ,	As the dirt is swept from the floor
As the ice is  swept  from rivers ,	As the ice is swept from the floor
Far above him  swam  the heavens ,	Far above him swam the dolphins
"That my vengeance shall not  reach  him ! """	That my letter shall not reach him !
With reserve he thus  made  answer :	With reserve he thus made pie
Till it  drew  itself together ,	Till it drew itself a portrait
Till it  took  the form and features	Till it took the form and signed it
With his war-club  smote  the doorways ,	With his anger smote the kings
Fell  a drowsiness on Kwasind ;	Fell a doorknob on Kwasind
Raged and  roared  the wintry tempest ,	Raged and roared the lion
So disasters  come  not singly ;	So ducks come not singly
Not a change  came  o'er their features ;	Not a plane came o'er their heads
We have  put  you to the trial ,	We have put you in the bedroom
Fell , and could not  rise  from weakness ,	Fell and could not rise from the ground
Hid her face , but  made  no answer ;	Hid her face, but made no shadow
At the looks they  cast  upon her ,	At the stones they cast upon the lake
Let us  pass  the night together ,	Let us pass the test together
All the meadows  wave  with blossoms ,	All the fans wave with blossoms
While they spake , the night  departed  :	While they spake , the bird departed
Came  the Spring with all its splendor ,	Came the peacock with all its splendor
Fell  the sunshine on his features ,	Fell the moonlight on his features
Fell  the evening 's dusk and coolness ,	Fell the evening 's cool acrobat
Torments him ; round he  throws  his baleful eyes	Torments him ; round he throws his dirty laundry
And rest can never  dwell  , hope never comes	And rats can never dwell , hope never comes
And rest can never dwell , hope never  comes	And rest can never dwell , she never comes
i attacked the problem as soon as i got out of bed	i attacked the one giving us problem as soon as i got out of bed
which horse are you backing?	which horse are you riding on its back?
she tended to blast when speaking into a microphone	she tended to produce explosive sounds when speaking into a microphone
don't bolt your food!	don't bolt to your food!
the judge clapped him in jail	the judge clapped him into the jail 
the politician clawed his rival.	the politician clawed the face of his rival.
this young man knows how to climb the social ladder	this young man knows how to climb a ladder
fear clogged her mind	fear clogged her heart
she devoured his novels	she devoured his novels for some reason and choked
my son drifted around for years in california before going to law school	my son drifted around the lakes in california for years before going to law school
the mother drinks in every word of her son on the stage	the mother drinks because of every word of her son on the stage
i was drowned in work	i was drowned because of my work
she drowned her trouble in alcohol	she was drowned because of her trouble in alcohol
the boss exploded when he heard of the resignation of the secretary	the boss bombed himself when he heard of the resignation of the secretary
every star seemed to flare with new intensity.	every star seemed to flare with new clothes.
the dancer floated across the stage	the dancer floated across the stage with a cart
the government floated the ruble for a few months	the government floated the ruble in a pond for a few months
he heaped him with work	he heaped him with documents from work
the businessman kited millions of dollars	the businessman flew a kite made of millions of dollars
we can lean on this man	we can lean on this man's back
‘ No , ’ he said helpfully , then bestowed a patronising smile on me .	‘ No , ’ he said helpfully , then bestowed a cake with a patronising smile to me .
He finds out what the needs of the business are , and prescribes the cure .	He finds out what the needs of the business are , and prescribes the cure for every patient.
‘ I think she 'd do better to understand herself , ’ Ellen said tartly .	‘ I think she 'd do better to understand herself , ’ Ellen said with a tart in her mouth.
Oh , and there 's one more thing you can be sure of , ’ he added sourly .	Oh , and there 's one more thing you can be sure of , ’ he added with a sour smell in his mouth .
We rattled them from the first minute and did n't give them any breathing space .	We gave them rattling sounds from the first minute and did n't give them any breathing space .
We could still be looking for it when they blow us out of the water . ’	We could still be looking for it when they bomb us out of the water . ’
No one who was at the Brewery Field ( perhaps not even the selectors ) would give twopence for their ability to do so .	No one who was at the Brewery Field ( perhaps not even the selectors ) would bet twopence for their ability to do so .
Four of the absentees suffered the squirming discomfort of being among the Welsh squad .	Four of the absentees suffered the discomfort caused by the squirms of the Welsh squad .
There are few things worse than being bludgeoned into reading a book you hate .	There are few things worse than being bludgeoned with a book you hate .
